;f_ticker;nf_ticker
0;SUL.AX;APE.AX
1;RHC.AX;EBO.NZ
2;SVW.AX;LLC.AX
3;POS.VI;RHIM.L
4;MMK.VI;WIE.VI
5;GBLB.BR;AGS.BR
6;BEKB.BR;BPOST.BR
7;ACKB.BR;DEME.BR
8;SOLB.BR;AZE.BR
9;VIO.BR;TESB.BR
10;MGLU3.SA;NTCO3.SA
11;JBSS3.SA;CRFB3.SA
12;GMAT3.SA;PCAR3.SA
13;CSAN3.SA;UGPA3.SA
14;ITUB4.SA;BBDC4.SA
15;PSSA3.SA;PAGS
16;WEGE3.SA;CCRO3.SA
17;GGBR4.SA;GOAU4.SA
18;CSNA3.SA;USIM5.SA
19;ENGI3.SA;EQTL3.SA
20;RCI-B.TO;T.TO
21;LNR.TO;ACQ.TO
22;ATD.TO;L.TO
23;EMP-A.TO;MRU.TO
24;CTC-A.TO;TPX-A.TO
25;FFH.TO;IFC.TO
26;POW.TO;GWO.TO
27;BBD-B.TO;FTT.TO
28;TRI;WCN.TO
29;CFP.TO;MX.TO
30;CIGI;FSV.TO
31;GIB;CLS.TO
32;CENCOSUD.SN;SMU.SN
33;COPEC.SN;ANTARCHILE.SN
34;QUINENCO.SN;BCI.SN
35;CMPC.SN;SK.SN
36;ANTO.L;SQM-B.SN
37;BIDU;1024.HK
38;000333.SZ;600690.SS
39;2333.HK;000651.SZ
40;0819.HK;3669.HK
41;1728.HK;601789.SS
42;603833.SS;300979.SZ
43;0493.HK;200521.SZ
44;002714.SZ;600887.SS
45;6808.HK;601933.SS
46;9633.HK;600809.SS
47;002385.SZ;900923.SS
48;1044.HK;603233.SS
49;6186.HK;603939.SS
50;688599.SS;002459.SZ
51;300122.SZ;000538.SZ
52;002352.SZ;601816.SS
53;600031.SS;0788.HK
54;2357.HK;002761.SZ
55;2355.HK;0098.HK
56;002493.SZ;2600.HK
57;600346.SS;1898.HK
58;1378.HK;000877.SZ
59;1907.HK;600459.SS
60;2128.HK;000830.SZ
61;0546.HK;600997.SS
62;2007.HK;600606.SS
63;0960.HK;001979.SZ
64;3333.HK;3900.HK
65;3383.HK;000656.SZ
66;3380.HK;3377.HK
67;2772.HK;3301.HK
68;9993.HK;000736.SZ
69;2777.HK;1238.HK
70;600340.SS;002146.SZ
71;1628.HK;0337.HK
72;1966.HK;1638.HK
73;0832.HK;2019.HK
74;1622.HK;3883.HK
75;300207.SZ;601231.SS
76;MAERSK-B.CO;DSV.CO
