Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
MARUTI.NS,11502.85,2024/10/25,15:30 IST,-260.8506,11763.6,11794.3,11440.0,624461,,,,,,,
8591.T,3172.0,2024/10/25,15:15 JST,-45.0,3180.0,3197.0,3158.0,2761600,,,,,,,
LPPF.JK,1605.0,2024/10/25,16:14 WIB,-55.0,1660.0,1665.0,1615.0,2676500,,,,,,,
NY1.JO,3899.0,2024/10/25,15:03 SAST,29.0,3870.0,3901.0,3840.0,1193032,,,,,,,
ENELCHILE.SN,52.66,2024/10/25,09:31 CLST,0.15999985,52.66,52.66,52.66,79775,,,,,,,
DPG.VN,57300.0,2024/10/25,14:45 ICT,200.0,56900.0,58200.0,56900.0,951200,,,,,,,
6301.T,3921.0,2024/10/25,15:15 JST,-15.0,3914.0,3944.0,3905.0,1679000,,,,,,,
TVS.VN,21750.0,2024/10/25,14:45 ICT,-50.0,21700.0,21800.0,21500.0,66200,,,,,,,
ARI.JO,18156.0,2024/10/25,15:06 SAST,67.0,18034.0,18156.0,17719.0,222790,,,,,,,
PBID.JK,486.0,2024/10/25,16:13 WIB,4.0,482.0,486.0,482.0,367600,,,,,,,
028050.KS,18420.0,2024/10/25,15:30 KST,-1400.0,19750.0,19900.0,18190.0,2889389,,,,,,,
BMTR.JK,224.0,2024/10/25,16:06 WIB,-2.0,226.0,226.0,222.0,7774400,,,,,,,
6954.T,3887.0,2024/10/25,15:15 JST,31.0,3871.0,3904.0,3855.0,3358800,,,,,,,
LINK.JK,1320.0,2024/10/25,15:24 WIB,5.0,1315.0,1350.0,1315.0,8200,,,,,,,
AXISBANK.BO,1187.65,2024/10/25,15:54 IST,19.700073,1182.0,1201.1,1170.3,320685,,,,,,,
AXISBANK.NS,1189.35,2024/10/25,15:29 IST,22.0,1187.0,1201.75,1170.0,12798222,,,,,,,
298040.KS,392000.0,2024/10/25,15:30 KST,3000.0,393000.0,408500.0,384500.0,87967,,,,,,,
BIC.VN,31350.0,2024/10/25,14:45 ICT,150.0,31300.0,31450.0,31200.0,20900,,,,,,,
8801.T,1308.5,2024/10/25,15:15 JST,-10.5,1307.5,1318.5,1305.5,4836900,,,,,,,
